shop,menu,price
바비든든,불닭덮밥,4900
바비든든,고기든든,3900
바비든든,제육덮밥,3900
바비든든,참치마요,3500
바비든든,치킨마요,3900
바비든든,스팸마요,3900
포포420,포포쌀국수,4500
포포420,우삼겹쌀국수,5900
포포420,마라쌀국수,6300
포포420,마라우삼겹쌀국수,7400
경성카츠,등심돈까스(L),6900
경성카츠,특등심왕돈까스,8900
경성카츠,경성치킨카레라이스,6500
경성카츠,꼬치어묵우동,4500
경성카츠,고구마돈까스,7900
경성카츠,경성카레돈까스,6900
비비고고,육회비빔밥(S),5900
비비고고,육회비빔밥(L),7900
비비고고,연어비빔밥(S),6900
비비고고,연어비빔밥(L),8900
비비고고,야채비빔밥,4900
값찌개,순두부찌개,5500
값찌개,바지락순두부찌개,5700
값찌개,우삼겹순두부찌개,6400
값찌개,스팸순두부찌개,6400
값찌개,된장찌개,5500
값찌개,바지락된장찌개,5700
값찌개,우삼겹된장찌개,6000
값찌개,김치찌개,5500
값찌개,돼지김치찌개,6000
값찌개,참치김치찌개,6000
값찌개,스팸김치찌개,6000
