2026학년도 1학기 본과정(계약학과 포함) 전체 강의시간표,,,,,,,,
1. 2026. 1. 30.자 시간표로 교원 충원 및 강의실 사정 등에 따라 변동될 수 있음,,,,,,,,
2. 교양 교과목에 대한 상세 안내는 교양 시간표 안내 공지를 참조,,,,,,,,
3. 실용음악과 전공실기 교과목 배정 관련 사항은 학과 문의,,,,,,,,
과정부분,학과명,과목명,분반,교수명,학년,이수구분명,학점,시간표
본과정,산업경영공학과,IE정보능력,101,박은실,1,교양과정,2,수 10:00 - 10:50 ( 공701 )  수 11:00 - 11:50 ( 공701 )
본과정,산업경영공학과,IE정보능력,102,박은실,1,교양과정,2,화 10:00 - 10:50 ( 공701 )  화 11:00 - 11:50 ( 공701 )
본과정,산업경영공학과,IE정보능력,103,박은실,1,교양과정,2,화 13:00 - 13:50 ( 공701 )  화 14:00 - 14:50 ( 공701 )
본과정,산업경영공학과,경영과학,101,최성희,1,전공과정,3,화 13:00 - 13:50 ( 공716 )  화 14:00 - 14:50 ( 공716 )  화 15:00 - 15:50 ( 공716 )
본과정,산업경영공학과,경영과학,102,최성희,1,전공과정,3,목 09:00 - 09:50 ( 공716 )  목 10:00 - 10:50 ( 공716 )  목 11:00 - 11:50 ( 공716 )
본과정,산업경영공학과,경영과학,103,최성희,1,전공과정,3,수 13:00 - 13:50 ( 공716 )  수 14:00 - 14:50 ( 공716 )  수 15:00 - 15:50 ( 공716 )
본과정,산업경영공학과,물류시스템경영,101,유양호,1,전공과정,3,목 09:00 - 09:50 ( 공704 )  목 10:00 - 10:50 ( 공704 )  목 11:00 - 11:50 ( 공704 )
본과정,산업경영공학과,물류시스템경영,102,여동기,1,전공과정,3,수 09:00 - 09:50 ( 공714 )  수 10:00 - 10:50 ( 공714 )  수 11:00 - 11:50 ( 공714 )
본과정,산업경영공학과,물류시스템경영,103,유양호,1,전공과정,3,수 13:00 - 13:50 ( 공704 )  수 14:00 - 14:50 ( 공704 )  수 15:00 - 15:50 ( 공704 )
본과정,산업경영공학과,산업경영공학개론,101,최성희,1,전공과정,3,목 13:00 - 13:50 ( 공716 )  목 14:00 - 14:50 ( 공716 )  목 15:00 - 15:50 ( 공716 )
